Point;Latitude;Longitude;Contexte;Période;ATX35;ATXND;ATNND;
8354;45.7267;1.5658;RCP4.5;H2;2.28;40;-14;
8355;45.7273;1.6686;RCP4.5;H2;1.36;39;-14;
8356;45.7279;1.7713;RCP4.5;H2;1.38;39;-14;
8357;45.7284;1.8741;RCP4.5;H2;0.86;40;-14;
8358;45.7287;1.9769;RCP4.5;H2;0.84;42;-15;
8359;45.729;2.0796;RCP4.5;H2;0.29;42;-15;
8360;45.7292;2.1824;RCP4.5;H2;0.42;42;-15;
8361;45.7293;2.2852;RCP4.5;H2;0.17;43;-16;
8362;45.7293;2.3879;RCP4.5;H2;0.25;43;-16;
8363;45.7292;2.4907;RCP4.5;H2;1.75;45;-15;
8364;45.729;2.5935;RCP4.5;H2;0.55;45;-15;
8365;45.7287;2.6962;RCP4.5;H2;0.1;46;-18;
8366;45.7284;2.799;RCP4.5;H2;0.42;44;-15;
8367;45.7279;2.9018;RCP4.5;H2;0.21;44;-16;
8368;45.7273;3.0045;RCP4.5;H2;0.25;43;-16;
8369;45.7267;3.1073;RCP4.5;H2;2.46;41;-16;
8370;45.7259;3.21;RCP4.5;H2;3.82;42;-16;
8371;45.7251;3.3128;RCP4.5;H2;3.52;40;-16;
8372;45.7241;3.4156;RCP4.5;H2;3.2;41;-16;
8373;45.7231;3.5183;RCP4.5;H2;3.75;42;-17;
8374;45.722;3.621;RCP4.5;H2;3;44;-17;
8375;45.7208;3.7238;RCP4.5;H2;0.23;45;-16;
